job_id,title,employer_name,city,state,country,is_remote,employment_type,min_salary,max_salary,salary_currency,salary_period,description,apply_link,posted_at_datetime,job_publisher,required_experience,required_skills,required_education,benefits,google_link,expiration_datetime
UFFyDnup9xL5Ks0oAAAAAA==,"Senior Backend Developer (Java, Python & Terraform) – Remoto",knowmad mood,"Cequeliños, Arbo",Pontevedra,ES,False,A tiempo completo,,,,,"En knowmad mood buscamos un / a Desarrollador / a Backend para un proyecto en plena transformación tecnológica. Formarás parte de un equipo con comunicación basada en eventos y un enfoque en calidad, resiliencia y escalabilidad. Si eres experto / a en Java , autónomo / a y te motiva trabajar con tecnologías punteras en un entorno flexible, ¡esta oportunidad es para ti! Tecnologías y Requisitos Técnicos • Lenguajes y frameworks : Java, Spring, Python • Arquitectura : Dominio de arquitectura hexag...",https://es.talent.com/view?id=38b01e3538b7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DUFFyDnup9xL5Ks0oAAAAAA%3D%3D&vssid=jobs-detail-viewer,
FvnylmTxqhWC1tcFAAAAAA==,Python Developer Analyst - 100% Remoto,Axpe Consulting,"Cequeliños, Arbo",Pontevedra,ES,False,A tiempo completo,,,,,"🧑 💻 Oferta: Python Developer Analyst – Proyecto en Sector Financiero Internacional 📍 100% Remoto 📄 Contrato Indefinido 🌍 Sobre el Proyecto Desde Axpe Consulting buscamos un Python Developer Analyst para incorporarse de manera estable a un proyecto estratégico en una entidad financiera global, referente en innovación tecnológica y transformación digital . Se trata de una iniciativa clave dentro del área de procesos de conciliación , con alto impacto en la operativa diaria, gestión de datos y efic...",https://es.jooble.org/jdp/-3567649552614244546?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DFvnylmTxqhWC1tcFAAAAAA%3D%3D&vssid=jobs-detail-viewer,
SUaEs2M0ssBveue9AAAAAA==,Backend Web Development Expert - €55.000 - €65.000 A Year - Remote,Abalia,Valencia,Valencia,ES,False,A tiempo completo,,,,,"Senior Python Developer (Remote – Spain) (Just Spanish Residents) We’re looking for a Senior Python Developer to join a growing international engineering team. If you’re passionate about building scalable solutions, enjoy collaborating across disciplines, and want to work with modern technologies in a flexible environment — we’d love to hear from you!",https://es.jobrapido.com/jobpreview/8469258502894780416?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobrapido.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DSUaEs2M0ssBveue9AAAAAA%3D%3D&vssid=jobs-detail-viewer,
WVv15rTeB-yiaVWnAAAAAA==,Python Developer - 100% Remote (Exclusively for residents of Spain) (Huelva),Infosernt,Huelva,Huelva,ES,False,A tiempo completo,,,,,"Infoser NT is hiring: Python Software Engineer We're looking for a talented Python Software Engineer to join our innovative team and help us build scalable, cloud-native solutions. If you're passionate about automation, cloud infrastructure, and DevOps practices, this is your opportunity to make a real impact. Key Responsibilities - Design and maintain reliable, robust, and scalable DevOps platforms for cloud systems and services. - Develop and improve tools for CI/CD, automated testing, and adv...",https://www.jobijoba.es/oferta-empleo/69/753f74d1add1c24b1bf0d60d6c21753b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobijoba,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DWVv15rTeB-yiaVWnAAAAAA%3D%3D&vssid=jobs-detail-viewer,
fEHK4ilW-I943GoaAAAAAA==,Senior Backend Developer (Python & FastAPI) (100% remote Spain),UST España & Latam,Valencia,Valencia,ES,False,A tiempo completo,,,,,"🚀 UST is looking for the very Top Talent…and we would be delighted if you were to join our family! More in details, UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35.000 employees all over the world and presence in more than 35 countries. We are leaders on digital technology services, and we provide large-scale technologic solutions to big companies. 🔎 What are we looking for? We are looking for a Senior Backend Develo...",https://es.jooble.org/jdp/6416266320718029613?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DfEHK4ilW-I943GoaAAAAAA%3D%3D&vssid=jobs-detail-viewer,
G9Rmdz_4WVjZ1fT2AAAAAA==,Python Developer - 100% Remote (Exclusively for residents of Spain) (Alicante (Alacant)),Infosernt,Alicante (Alacant),Alicante,ES,False,A tiempo completo,,,,,"Infoser NT is hiring: Python Software Engineer We're looking for a talented Python Software Engineer to join our innovative team and help us build scalable, cloud-native solutions. If you're passionate about automation, cloud infrastructure, and DevOps practices, this is your opportunity to make a real impact. Key Responsibilities - Design and maintain reliable, robust, and scalable DevOps platforms for cloud systems and services. - Develop and improve tools for CI/CD, automated testing, and adv...",https://www.jobijoba.es/oferta-empleo/69/9342010d1f35d7743b85b36c14be9662?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobijoba,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DG9Rmdz_4WVjZ1fT2AAAAAA%3D%3D&vssid=jobs-detail-viewer,
hbBBKlJ9J5koC5ZNAAAAAA==,"Senior Backend Developer (Java, Python & Terraform) – Remoto",knowmad mood,,,ES,False,A tiempo completo,,,,,"En knowmad mood buscamos un / a Desarrollador / a Backend para un proyecto en plena transformación tecnológica. Formarás parte de un equipo con comunicación basada en eventos y un enfoque en calidad, resiliencia y escalabilidad. Si eres experto / a en Java , autónomo / a y te motiva trabajar con tecnologías punteras en un entorno flexible, ¡esta oportunidad es para ti! Tecnologías y Requisitos Técnicos • Lenguajes y frameworks : Java, Spring, Python • Arquitectura : Dominio de arquitectura hexag...",https://es.talent.com/view?id=e5d3e78a0a0b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DhbBBKlJ9J5koC5ZNAAAAAA%3D%3D&vssid=jobs-detail-viewer,
92Z0INnHcE3lnG-9AAAAAA==,Remote Full-Stack Python Dev,Plexus,Madrid,Madrid,ES,False,A tiempo completo,,,,,"About Plexus Plexus is a technology development firm that offers a hybrid work environment across 24 work centers in Spain. Job Description • We are seeking a FullStack Developer specialized in Python to join their team. • Candidates should have at least 5 years of experience in front-end development, preferably with React.",https://es.bebee.com/job/ebf24b4a8ab6c081d2429efda1649a09?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,BeBee,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D92Z0INnHcE3lnG-9AAAAAA%3D%3D&vssid=jobs-detail-viewer,
lRv8Zs6aJLomMs30AAAAAA==,Remote (Spain) Senior Full-Stack Engineer - Python + React,Intellias,Madrid,Madrid,ES,False,A tiempo completo,,,,,"A fast-growing startup in Spain is looking for a Senior FullStack Developer (Python / React) to enhance their management platform. The ideal candidate has over 5 years of experience in full stack development, with expertise in Python and React, as well as strong skills in MongoDB and MySQL. Join a team focused on improving the deskless work experience through innovative software solutions. This role offers a fully remote position with a Spanish employment contract. #J-18808-Ljbffr",https://es.jobrapido.com/jobpreview/5721912234544726016?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobrapido.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DlRv8Zs6aJLomMs30AAAAAA%3D%3D&vssid=jobs-detail-viewer,
BMESDi8WongV7G9jAAAAAA==,Python Engineer Team Lead,SplitMetrics,,,,False,A tiempo completo,,,,,"SplitMetrics is a global software company offering an ecosystem of products and services that serve as a growth engine for top mobile-first businesses worldwide. Our ecosystem includes: • SplitMetrics Acquire, a platform for automating and optimizing Apple Ads. • SplitMetrics Agency, a full-service mobile marketing agency staffed by top experts. • SplitMetrics Optimize, an A/B testing platform recognized as the ASO Tool of the Year. • App Radar by SplitMetrics: an ASO platform with advanced keyw...",https://es.linkedin.com/jobs/view/python-engineer-team-lead-at-splitmetrics-4340324079?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DBMESDi8WongV7G9jAAAAAA%3D%3D&vssid=jobs-detail-viewer,
